Willis, Bruce	'Pulp Fiction' on a Dime: A 10th Anniversary Retrospect (2004) (TV)
Willis, Bruce	'T4' Goes 'Over the Hedge' (2006) (TV)
Willis, Bruce	'The Sixth Sense': Reflections from the Set (2002) (V)
Willis, Bruce	16 Blocks (2006)
Willis, Bruce	1st Annual Mystery Science Theater 3000 Summer Blockbuster Review (1997) (TV)
Willis, Bruce	2000 Blockbuster Entertainment Awards (2000) (TV)
Willis, Bruce	2002 ABC World Stunt Awards (2002) (TV)
Willis, Bruce	A Good Day to Die Hard (2013)
Willis, Bruce	A Kid Becomes the Kid (2000) (TV)
Willis, Bruce	A More Perfect You: The Science of Surrogates (2010) (V)
Willis, Bruce	A Night to Die for (1995) (TV)
Willis, Bruce	Al Pacino: An American Cinematheque Tribute (2006) (TV)
Willis, Bruce	All-Star Tribute to Kareem Abdul-Jabbar (1989) (TV)
Willis, Bruce	Alpha Dog (2006)
Willis, Bruce	Analog Hero in a Digital World: Making of 'Live Free or Die Hard' (2007) (V)
Willis, Bruce	Apocalypse (1998) (VG)
Willis, Bruce	Armageddon (1998)
Willis, Brandon	Porter (2014)
Willis, Brent	48 ? (2002) (V)
Willis, Brent	Dog Years (2012)
Willis, Brent	Life Happens (2006)
Willis, Brett	Hook (1991)
Willis, Brian (II)	Hook (1991)